القطاع,القسم,الإدارة,التنظيم الإداري,اسم العقد,المقاول الرئيسي,اسم المشروع,التصنيف الاقتصادي,رأسمالي / تشغيلي,التصنيف الصناعي,قيمة الارتباط,المدة,تاريخ الترسية,تاريخ نهاية العقد
النقل,المشاريع,المدينة,مركزي,عقد رقم 2021-036,مؤسسة محمد الموسى,تطوير المرافق,التطوير والصيانة,مختلط,إنشاءات,8720000,12,2022-05-07,2023-05-02
التعليم,العمليات,أبها,فرعي,عقد رقم 2021-037,مجموعة صافولا,تطوير البنية التحتية,الخدمات العامة,تشغيلي,خدمات فنية,450000,6,2023-12-27,2024-06-24
الدفاع,المشاريع,تبوك,مركزي,عقد رقم 2021-038,شركة أرامكو للخدمات,صيانة الطرق,مشاريع البنية التحتية,تشغيلي,إنشاءات,310000,48,2020-02-24,2024-02-03
الصحة,العمليات,أبها,فرعي,عقد رقم 2021-039,شركة المباني الحديثة,تطوير المرافق,المشاريع الاستراتيجية,مختلط,إنشاءات,3150000,36,2024-09-14,2027-08-30
التعليم,الخدمات,حائل,محلي,عقد رقم 2021-040,مجموعة السعودي الفرنسي,أنظمة التكييف,الخدمات العامة,تشغيلي,إنشاءات,480000,3,2020-06-11,2020-09-09
الداخلية,الصيانة,جدة,محلي,عقد رقم 2021-041,شركة النهدي للتطوير,صيانة دورية,مشاريع البنية التحتية,مختلط,خدمات متخصصة,1800000,18,2020-04-07,2021-09-29
الداخلية,الصيانة,حائل,إقليمي,عقد رقم 2021-042,مجموعة العليان,ترميم وتجديد,المشاريع الاستراتيجية,رأسمالي,إنشاءات,4440000,18,2023-03-23,2024-09-13
النقل,الخدمات,القصيم,مركزي,عقد رقم 2021-043,مجموعة صافولا,تطوير المرافق,مشاريع البنية التحتية,مختلط,مقاولات عامة,320000,36,2022-12-08,2025-11-22
البلدية,الصيانة,الطائف,فرعي,عقد رقم 2021-044,شركة المباني الحديثة,أعمال النظافة,مشاريع البنية التحتية,مختلط,خدمات فنية,4990000,24,2022-02-03,2024-01-24
البلدية,المشاريع,أبها,محلي,عقد رقم 2021-045,مؤسسة محمد الموسى,إنشاءات جديدة,الخدمات العامة,رأسمالي,مقاولات عامة,1200000,3,2020-09-30,2020-12-29
التعليم,الصيانة,الطائف,إقليمي,عقد رقم 2021-046,مجموعة الزامل,أعمال السباكة,الصيانة الدورية,تشغيلي,خدمات فنية,460000,24,2020-03-16,2022-03-06
الصحة,العمليات,المدينة,مركزي,عقد رقم 2021-047,شركة أرامكو للخدمات,أعمال السباكة,المشاريع الاستراتيجية,مختلط,مقاولات عامة,450000,18,2020-03-15,2021-09-06
الإسكان,التطوير,الطائف,إقليمي,عقد رقم 2021-048,مجموعة السعودي الفرنسي,تشغيل وصيانة المرافق,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,43290000,36,2022-03-02,2025-02-14
الصحة,الصيانة,الطائف,إقليمي,عقد رقم 2021-049,شركة عبدالله عبدالمحسن الخضري,تطوير المرافق,الصيانة الدورية,مختلط,مقاولات عامة,1170000,12,2023-05-18,2024-05-12
الإسكان,العمليات,حائل,محلي,عقد رقم 2021-050,شركة عبدالله عبدالمحسن الخضري,أعمال النظافة,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,580000,60,2020-12-07,2025-11-11
البلدية,الخدمات,أبها,مركزي,عقد رقم 2021-051,شركة الراجحي للمقاولات,تطوير البنية التحتية,الخدمات العامة,مختلط,خدمات فنية,19580000,12,2022-01-14,2023-01-09
النقل,المشاريع,أبها,إقليمي,عقد رقم 2021-052,شركة أرامكو للخدمات,تطوير المرافق,مشاريع البنية التحتية,مختلط,صيانة,12170000,48,2022-01-11,2025-12-21
الدفاع,المشاريع,جدة,مركزي,عقد رقم 2021-053,شركة المباني الحديثة,إنشاءات جديدة,المشاريع الاستراتيجية,مختلط,مقاولات عامة,1860000,36,2022-12-20,2025-12-04
الإسكان,التطوير,مكة,إقليمي,عقد رقم 2021-054,شركة المباني الحديثة,تطوير المرافق,الخدمات العامة,رأسمالي,صيانة,180000,6,2023-02-24,2023-08-23
الداخلية,الصيانة,الطائف,إقليمي,عقد رقم 2021-055,شركة المباني الحديثة,تطوير البنية التحتية,الصيانة الدورية,مختلط,خدمات فنية,1990000,6,2024-10-12,2025-04-10
البلدية,العمليات,القصيم,فرعي,عقد رقم 2021-056,مجموعة السعودي الفرنسي,صيانة الطرق,الخدمات العامة,رأسمالي,مقاولات عامة,21680000,24,2024-12-30,2026-12-20
الداخلية,الخدمات,الدمام,مركزي,عقد رقم 2021-057,مجموعة السعودي الفرنسي,أنظمة التكييف,المشاريع الاستراتيجية,مختلط,مقاولات عامة,1270000,36,2020-02-23,2023-02-07
النقل,الصيانة,الدمام,إقليمي,عقد رقم 2021-058,مؤسسة محمد الموسى,تطوير البنية التحتية,المشاريع الاستراتيجية,تشغيلي,خدمات متخصصة,8900000,48,2022-12-12,2026-11-21
الإسكان,الخدمات,الدمام,فرعي,عقد رقم 2021-059,مجموعة صافولا,صيانة دورية,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,46990000,12,2021-12-06,2022-12-01
الإسكان,المشاريع,الطائف,إقليمي,عقد رقم 2021-060,مجموعة السعودي الفرنسي,أنظمة التكييف,الخدمات العامة,مختلط,خدمات متخصصة,210000,24,2020-11-09,2022-10-30
النقل,الصيانة,القصيم,فرعي,عقد رقم 2021-061,شركة النهدي للتطوير,ترميم وتجديد,الخدمات العامة,رأسمالي,خدمات متخصصة,7150000,12,2021-07-16,2022-07-11
الصحة,الصيانة,جدة,مركزي,عقد رقم 2021-062,مؤسسة محمد الموسى,ترميم وتجديد,التطوير والصيانة,مختلط,صيانة,6720000,36,2024-01-15,2026-12-30
الداخلية,الخدمات,المدينة,إقليمي,عقد رقم 2021-063,شركة الفطيم للمقاولات,صيانة الطرق,المشاريع الاستراتيجية,تشغيلي,مقاولات عامة,2250000,48,2024-04-19,2028-03-29
الداخلية,التطوير,مكة,إقليمي,عقد رقم 2021-064,شركة النهدي للتطوير,إنشاءات جديدة,التطوير والصيانة,مختلط,خدمات فنية,260000,3,2020-05-29,2020-08-27
البلدية,العمليات,القصيم,مركزي,عقد رقم 2021-065,شركة أرامكو للخدمات,صيانة الطرق,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,18770000,36,2024-02-12,2027-01-27
الدفاع,التطوير,حائل,محلي,عقد رقم 2021-066,مجموعة العليان,إنشاءات جديدة,التطوير والصيانة,مختلط,خدمات فنية,70000,18,2022-07-09,2023-12-31
الداخلية,التطوير,المدينة,محلي,عقد رقم 2021-067,شركة بن لادن السعودية,تطوير البنية التحتية,المشاريع الاستراتيجية,مختلط,مقاولات عامة,1570000,12,2021-01-23,2022-01-18
الصحة,العمليات,أبها,محلي,عقد رقم 2021-068,شركة عبدالله عبدالمحسن الخضري,صيانة دورية,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,600000,18,2021-05-08,2022-10-30
الداخلية,العمليات,الرياض,محلي,عقد رقم 2021-069,شركة بن لادن السعودية,ترميم وتجديد,الصيانة الدورية,رأسمالي,خدمات فنية,8400000,24,2020-10-01,2022-09-21
الداخلية,الخدمات,المدينة,مركزي,عقد رقم 2021-070,شركة الراجحي للمقاولات,تطوير البنية التحتية,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,310000,24,2023-02-07,2025-01-27
النقل,الخدمات,تبوك,مركزي,عقد رقم 2021-071,شركة بن لادن السعودية,صيانة المباني,الخدمات العامة,مختلط,خدمات فنية,3660000,36,2023-02-16,2026-01-31
النقل,الخدمات,الدمام,إقليمي,عقد رقم 2021-072,شركة النهدي للتطوير,الخدمات الكهربائية,الخدمات العامة,تشغيلي,خدمات متخصصة,810000,60,2024-07-04,2029-06-08
البلدية,الخدمات,القصيم,محلي,عقد رقم 2021-073,شركة المباني الحديثة,ترميم وتجديد,التطوير والصيانة,تشغيلي,إنشاءات,1560000,24,2024-02-23,2026-02-12
النقل,العمليات,الرياض,محلي,عقد رقم 2021-074,شركة عبدالله عبدالمحسن الخضري,أعمال النظافة,الصيانة الدورية,مختلط,صيانة,5490000,36,2022-01-24,2025-01-08
النقل,الخدمات,تبوك,فرعي,عقد رقم 2021-075,مؤسسة محمد الموسى,صيانة الطرق,مشاريع البنية التحتية,مختلط,إنشاءات,850000,3,2024-01-17,2024-04-16
التعليم,التطوير,مكة,محلي,عقد رقم 2021-076,مجموعة الزامل,ترميم وتجديد,المشاريع الاستراتيجية,مختلط,إنشاءات,1370000,3,2021-01-25,2021-04-25
الدفاع,التطوير,القصيم,محلي,عقد رقم 2021-077,شركة أرامكو للخدمات,إنشاءات جديدة,المشاريع الاستراتيجية,مختلط,خدمات فنية,1670000,12,2023-12-16,2024-12-10
الإسكان,العمليات,حائل,محلي,عقد رقم 2021-078,مجموعة العليان,صيانة الطرق,التطوير والصيانة,مختلط,خدمات فنية,9270000,36,2023-01-23,2026-01-07
التعليم,التطوير,الطائف,محلي,عقد رقم 2021-079,شركة أرامكو للخدمات,صيانة دورية,التطوير والصيانة,تشغيلي,إنشاءات,7910000,24,2021-04-05,2023-03-26
البلدية,العمليات,الدمام,إقليمي,عقد رقم 2021-080,شركة بن لادن السعودية,أنظمة التكييف,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,36470000,48,2023-03-20,2027-02-27
التعليم,الخدمات,المدينة,إقليمي,عقد رقم 2021-081,شركة الراجحي للمقاولات,تطوير البنية التحتية,الصيانة الدورية,مختلط,خدمات متخصصة,3790000,24,2023-09-05,2025-08-25
التعليم,المشاريع,الرياض,مركزي,عقد رقم 2021-082,مجموعة صافولا,الخدمات الكهربائية,المشاريع الاستراتيجية,رأسمالي,صيانة,320000,18,2021-05-05,2022-10-27
الداخلية,المشاريع,المدينة,إقليمي,عقد رقم 2021-083,شركة عبدالله عبدالمحسن الخضري,أعمال النظافة,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,1490000,12,2020-01-11,2021-01-05
الداخلية,المشاريع,الرياض,محلي,عقد رقم 2021-084,شركة الفطيم للمقاولات,إنشاءات جديدة,التطوير والصيانة,رأسمالي,إنشاءات,21740000,3,2021-04-20,2021-07-19
الدفاع,التطوير,القصيم,محلي,عقد رقم 2021-085,شركة الراجحي للمقاولات,صيانة دورية,المشاريع الاستراتيجية,تشغيلي,صيانة,32480000,6,2021-09-03,2022-03-02
الإسكان,العمليات,الدمام,مركزي,عقد رقم 2021-086,شركة المباني الحديثة,الخدمات الكهربائية,التطوير والصيانة,مختلط,صيانة,1460000,6,2024-07-14,2025-01-10
الدفاع,الصيانة,تبوك,مركزي,عقد رقم 2021-087,شركة الراجحي للمقاولات,إنشاءات جديدة,المشاريع الاستراتيجية,تشغيلي,صيانة,6320000,48,2020-12-25,2024-12-04
البلدية,العمليات,الطائف,إقليمي,عقد رقم 2021-088,شركة النهدي للتطوير,تشغيل وصيانة المرافق,الصيانة الدورية,رأسمالي,خدمات فنية,1430000,24,2020-01-14,2022-01-03
الإسكان,الصيانة,أبها,إقليمي,عقد رقم 2021-089,شركة الراجحي للمقاولات,أعمال السباكة,الصيانة الدورية,مختلط,خدمات فنية,2520000,36,2023-08-31,2026-08-15
الدفاع,العمليات,حائل,فرعي,عقد رقم 2021-090,مجموعة العليان,إنشاءات جديدة,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,9890000,6,2023-11-14,2024-05-12
الداخلية,الخدمات,مكة,فرعي,عقد رقم 2021-091,مؤسسة محمد الموسى,ترميم وتجديد,مشاريع البنية التحتية,مختلط,مقاولات عامة,1650000,36,2024-03-11,2027-02-24
الصحة,الصيانة,القصيم,فرعي,عقد رقم 2021-092,شركة النهدي للتطوير,صيانة دورية,الخدمات العامة,رأسمالي,خدمات فنية,340000,36,2022-12-17,2025-12-01
الإسكان,الخدمات,أبها,مركزي,عقد رقم 2021-093,مجموعة الزامل,تطوير المرافق,مشاريع البنية التحتية,تشغيلي,صيانة,150000,60,2024-10-15,2029-09-19
النقل,التطوير,المدينة,مركزي,عقد رقم 2021-094,مجموعة صافولا,أنظمة التكييف,مشاريع البنية التحتية,مختلط,صيانة,620000,48,2022-11-17,2026-10-27
الإسكان,الصيانة,القصيم,مركزي,عقد رقم 2021-095,مجموعة السعودي الفرنسي,تطوير المرافق,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,230000,6,2023-03-30,2023-09-26
الإسكان,التطوير,الطائف,محلي,عقد رقم 2021-096,شركة الفطيم للمقاولات,أعمال السباكة,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,8110000,12,2021-01-03,2021-12-29
الداخلية,الخدمات,الدمام,فرعي,عقد رقم 2021-097,شركة بن لادن السعودية,صيانة المباني,التطوير والصيانة,تشغيلي,خدمات متخصصة,330000,36,2020-09-29,2023-09-14
الداخلية,العمليات,الدمام,إقليمي,عقد رقم 2021-098,مجموعة العليان,تشغيل وصيانة المرافق,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,4070000,48,2022-05-18,2026-04-27
الصحة,الخدمات,الرياض,محلي,عقد رقم 2021-099,شركة النهدي للتطوير,أعمال النظافة,مشاريع البنية التحتية,رأسمالي,إنشاءات,80000,3,2023-06-13,2023-09-11
البلدية,الصيانة,الدمام,إقليمي,عقد رقم 2021-100,مجموعة العليان,تشغيل وصيانة المرافق,الصيانة الدورية,تشغيلي,خدمات متخصصة,160000,60,2022-04-03,2027-03-08
الإسكان,الخدمات,مكة,محلي,عقد رقم 2022-001,شركة عبدالله عبدالمحسن الخضري,أنظمة التكييف,مشاريع البنية التحتية,مختلط,خدمات متخصصة,120000,36,2023-05-09,2026-04-23
النقل,التطوير,الرياض,إقليمي,عقد رقم 2022-002,مؤسسة محمد الموسى,أعمال النظافة,المشاريع الاستراتيجية,مختلط,خدمات فنية,5580000,12,2024-12-06,2025-12-01
الداخلية,المشاريع,القصيم,محلي,عقد رقم 2022-003,مجموعة العليان,صيانة الطرق,التطوير والصيانة,مختلط,صيانة,1120000,48,2023-11-27,2027-11-06
الداخلية,التطوير,القصيم,فرعي,عقد رقم 2022-004,مجموعة صافولا,صيانة الطرق,التطوير والصيانة,رأسمالي,خدمات فنية,47740000,60,2024-07-08,2029-06-12
الصحة,الخدمات,مكة,مركزي,عقد رقم 2022-005,شركة عبدالله عبدالمحسن الخضري,أعمال السباكة,الصيانة الدورية,مختلط,إنشاءات,34900000,6,2023-08-17,2024-02-13
النقل,الخدمات,مكة,محلي,عقد رقم 2022-006,مجموعة العليان,الخدمات الكهربائية,التطوير والصيانة,رأسمالي,صيانة,440000,6,2024-11-24,2025-05-23
الداخلية,المشاريع,حائل,فرعي,عقد رقم 2022-007,مجموعة صافولا,صيانة الطرق,الصيانة الدورية,تشغيلي,خدمات فنية,8320000,6,2021-01-24,2021-07-23
الدفاع,العمليات,الطائف,محلي,عقد رقم 2022-008,شركة الفطيم للمقاولات,تطوير البنية التحتية,المشاريع الاستراتيجية,تشغيلي,صيانة,1250000,60,2022-02-18,2027-01-23
البلدية,المشاريع,الدمام,مركزي,عقد رقم 2022-009,شركة عبدالله عبدالمحسن الخضري,صيانة دورية,الصيانة الدورية,مختلط,مقاولات عامة,1670000,36,2022-01-29,2025-01-13
الداخلية,الخدمات,مكة,محلي,عقد رقم 2022-010,مجموعة الزامل,أعمال النظافة,التطوير والصيانة,تشغيلي,مقاولات عامة,170000,12,2021-08-27,2022-08-22
التعليم,المشاريع,القصيم,محلي,عقد رقم 2022-011,شركة الراجحي للمقاولات,صيانة دورية,مشاريع البنية التحتية,مختلط,إنشاءات,1230000,60,2024-01-21,2028-12-25
البلدية,الصيانة,تبوك,فرعي,عقد رقم 2022-012,مؤسسة محمد الموسى,صيانة الطرق,مشاريع البنية التحتية,مختلط,صيانة,13250000,6,2024-09-14,2025-03-13
الصحة,الخدمات,حائل,محلي,عقد رقم 2022-013,مؤسسة محمد الموسى,تطوير المرافق,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,1280000,18,2020-01-19,2021-07-12
الإسكان,العمليات,القصيم,إقليمي,عقد رقم 2022-014,شركة بن لادن السعودية,صيانة دورية,المشاريع الاستراتيجية,رأسمالي,إنشاءات,320000,48,2023-02-03,2027-01-13
النقل,العمليات,الطائف,إقليمي,عقد رقم 2022-015,مجموعة صافولا,تطوير البنية التحتية,التطوير والصيانة,تشغيلي,مقاولات عامة,370000,12,2020-07-16,2021-07-11
الدفاع,الصيانة,الرياض,مركزي,عقد رقم 2022-016,مجموعة صافولا,أعمال السباكة,المشاريع الاستراتيجية,مختلط,مقاولات عامة,25150000,18,2023-03-03,2024-08-24
الداخلية,التطوير,الطائف,مركزي,عقد رقم 2022-017,مجموعة الزامل,صيانة المباني,الخدمات العامة,رأسمالي,خدمات متخصصة,2690000,3,2020-04-24,2020-07-23
الإسكان,العمليات,القصيم,مركزي,عقد رقم 2022-018,شركة الراجحي للمقاولات,الخدمات الكهربائية,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,80000,24,2022-08-31,2024-08-20
التعليم,الخدمات,مكة,محلي,عقد رقم 2022-019,مؤسسة محمد الموسى,صيانة دورية,التطوير والصيانة,تشغيلي,صيانة,30080000,48,2020-10-22,2024-10-01
الصحة,الصيانة,تبوك,فرعي,عقد رقم 2022-020,مجموعة السعودي الفرنسي,الخدمات الكهربائية,الصيانة الدورية,مختلط,خدمات متخصصة,1220000,6,2024-06-06,2024-12-03
البلدية,التطوير,أبها,فرعي,عقد رقم 2022-021,شركة أرامكو للخدمات,صيانة دورية,المشاريع الاستراتيجية,تشغيلي,صيانة,190000,36,2022-03-23,2025-03-07
الدفاع,المشاريع,جدة,مركزي,عقد رقم 2022-022,شركة عبدالله عبدالمحسن الخضري,إنشاءات جديدة,المشاريع الاستراتيجية,مختلط,صيانة,370000,48,2023-10-24,2027-10-03
الصحة,الصيانة,المدينة,محلي,عقد رقم 2022-023,شركة أرامكو للخدمات,أنظمة التكييف,مشاريع البنية التحتية,رأسمالي,إنشاءات,720000,48,2024-02-23,2028-02-02
النقل,التطوير,جدة,مركزي,عقد رقم 2022-024,مجموعة السعودي الفرنسي,الخدمات الكهربائية,الصيانة الدورية,رأسمالي,خدمات متخصصة,1660000,48,2021-01-18,2024-12-28
الدفاع,التطوير,تبوك,مركزي,عقد رقم 2022-025,شركة المباني الحديثة,صيانة دورية,الخدمات العامة,مختلط,خدمات متخصصة,10820000,36,2023-05-09,2026-04-23
الدفاع,العمليات,أبها,فرعي,عقد رقم 2022-026,مجموعة السعودي الفرنسي,إنشاءات جديدة,المشاريع الاستراتيجية,تشغيلي,مقاولات عامة,190000,48,2020-12-13,2024-11-22
الدفاع,المشاريع,أبها,فرعي,عقد رقم 2022-027,شركة الفطيم للمقاولات,تطوير البنية التحتية,الخدمات العامة,تشغيلي,إنشاءات,5020000,60,2021-09-05,2026-08-10
البلدية,العمليات,أبها,إقليمي,عقد رقم 2022-028,مجموعة صافولا,أعمال النظافة,الصيانة الدورية,رأسمالي,خدمات فنية,5180000,36,2022-03-21,2025-03-05
الداخلية,العمليات,المدينة,محلي,عقد رقم 2022-029,شركة النهدي للتطوير,صيانة الطرق,التطوير والصيانة,تشغيلي,خدمات فنية,870000,18,2021-10-18,2023-04-11
التعليم,الخدمات,القصيم,فرعي,عقد رقم 2022-030,مؤسسة محمد الموسى,صيانة دورية,مشاريع البنية التحتية,مختلط,مقاولات عامة,1680000,48,2024-07-30,2028-07-09
البلدية,الصيانة,تبوك,محلي,عقد رقم 2022-031,شركة الراجحي للمقاولات,أعمال النظافة,التطوير والصيانة,رأسمالي,خدمات فنية,1110000,18,2023-12-21,2025-06-13
الداخلية,الصيانة,أبها,محلي,عقد رقم 2022-032,شركة النهدي للتطوير,أعمال السباكة,الصيانة الدورية,مختلط,مقاولات عامة,8610000,12,2023-09-10,2024-09-04
الإسكان,الخدمات,حائل,مركزي,عقد رقم 2022-033,مجموعة السعودي الفرنسي,صيانة الطرق,التطوير والصيانة,رأسمالي,خدمات متخصصة,5010000,3,2023-01-18,2023-04-18
البلدية,التطوير,جدة,مركزي,عقد رقم 2022-034,مجموعة السعودي الفرنسي,أنظمة التكييف,الخدمات العامة,مختلط,خدمات متخصصة,32250000,48,2020-03-31,2024-03-10
الداخلية,الخدمات,القصيم,فرعي,عقد رقم 2022-035,شركة أرامكو للخدمات,صيانة المباني,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,1320000,18,2023-02-16,2024-08-09
التعليم,العمليات,المدينة,إقليمي,عقد رقم 2022-036,شركة الفطيم للمقاولات,صيانة الطرق,الصيانة الدورية,تشغيلي,خدمات فنية,430000,6,2022-05-01,2022-10-28
الداخلية,العمليات,جدة,إقليمي,عقد رقم 2022-037,شركة بن لادن السعودية,تشغيل وصيانة المرافق,مشاريع البنية التحتية,رأسمالي,خدمات فنية,1960000,6,2022-09-02,2023-03-01
الإسكان,المشاريع,القصيم,فرعي,عقد رقم 2022-038,مجموعة الزامل,إنشاءات جديدة,التطوير والصيانة,مختلط,مقاولات عامة,3370000,6,2023-08-20,2024-02-16
التعليم,المشاريع,تبوك,محلي,عقد رقم 2022-039,شركة بن لادن السعودية,تشغيل وصيانة المرافق,الصيانة الدورية,رأسمالي,مقاولات عامة,7280000,18,2022-08-04,2024-01-26
التعليم,المشاريع,المدينة,مركزي,عقد رقم 2022-040,شركة النهدي للتطوير,تطوير البنية التحتية,الصيانة الدورية,رأسمالي,خدمات فنية,1970000,48,2023-04-27,2027-04-06
الإسكان,التطوير,القصيم,إقليمي,عقد رقم 2022-041,شركة النهدي للتطوير,أعمال السباكة,الصيانة الدورية,تشغيلي,خدمات متخصصة,1050000,18,2021-10-29,2023-04-22
النقل,المشاريع,المدينة,مركزي,عقد رقم 2022-042,مؤسسة محمد الموسى,إنشاءات جديدة,التطوير والصيانة,رأسمالي,صيانة,1460000,36,2020-08-21,2023-08-06
التعليم,الخدمات,تبوك,محلي,عقد رقم 2022-043,شركة النهدي للتطوير,إنشاءات جديدة,الصيانة الدورية,تشغيلي,مقاولات عامة,410000,6,2021-09-17,2022-03-16
الإسكان,المشاريع,القصيم,فرعي,عقد رقم 2022-044,شركة الفطيم للمقاولات,أنظمة التكييف,الخدمات العامة,رأسمالي,خدمات فنية,7810000,60,2021-01-15,2025-12-20
الدفاع,الصيانة,أبها,فرعي,عقد رقم 2022-045,مجموعة العليان,أعمال السباكة,الصيانة الدورية,مختلط,مقاولات عامة,9260000,60,2024-09-20,2029-08-25
الداخلية,المشاريع,جدة,مركزي,عقد رقم 2022-046,مجموعة العليان,أنظمة التكييف,مشاريع البنية التحتية,تشغيلي,صيانة,1430000,60,2022-04-17,2027-03-22
النقل,التطوير,القصيم,مركزي,عقد رقم 2022-047,شركة النهدي للتطوير,تطوير البنية التحتية,التطوير والصيانة,مختلط,خدمات فنية,280000,24,2023-01-06,2024-12-26
النقل,المشاريع,تبوك,مركزي,عقد رقم 2022-048,شركة المباني الحديثة,أعمال النظافة,الخدمات العامة,تشغيلي,إنشاءات,5700000,3,2023-01-15,2023-04-15
الداخلية,الصيانة,مكة,فرعي,عقد رقم 2022-049,شركة المباني الحديثة,ترميم وتجديد,التطوير والصيانة,مختلط,خدمات متخصصة,680000,24,2022-07-10,2024-06-29
البلدية,المشاريع,مكة,مركزي,عقد رقم 2022-050,شركة النهدي للتطوير,الخدمات الكهربائية,الصيانة الدورية,تشغيلي,خدمات متخصصة,120000,48,2023-07-19,2027-06-28
الدفاع,العمليات,حائل,إقليمي,عقد رقم 2022-051,مجموعة الزامل,أعمال النظافة,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,1970000,12,2023-01-08,2024-01-03
الإسكان,المشاريع,مكة,فرعي,عقد رقم 2022-052,شركة المباني الحديثة,الخدمات الكهربائية,الخدمات العامة,مختلط,مقاولات عامة,18510000,24,2020-05-01,2022-04-21
الإسكان,التطوير,تبوك,محلي,عقد رقم 2022-053,مجموعة السعودي الفرنسي,أعمال النظافة,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,1060000,12,2022-09-29,2023-09-24
الدفاع,التطوير,أبها,إقليمي,عقد رقم 2022-054,شركة النهدي للتطوير,صيانة المباني,مشاريع البنية التحتية,مختلط,مقاولات عامة,9350000,24,2024-03-15,2026-03-05
الداخلية,المشاريع,تبوك,فرعي,عقد رقم 2022-055,شركة الفطيم للمقاولات,أنظمة التكييف,التطوير والصيانة,تشغيلي,خدمات فنية,45860000,36,2023-07-24,2026-07-08
البلدية,العمليات,الرياض,مركزي,عقد رقم 2022-056,مجموعة السعودي الفرنسي,أعمال النظافة,المشاريع الاستراتيجية,رأسمالي,إنشاءات,1510000,12,2023-01-25,2024-01-20
الداخلية,المشاريع,الدمام,إقليمي,عقد رقم 2022-057,شركة الراجحي للمقاولات,أنظمة التكييف,مشاريع البنية التحتية,مختلط,خدمات فنية,500000,12,2024-10-22,2025-10-17
التعليم,الصيانة,تبوك,إقليمي,عقد رقم 2022-058,شركة المباني الحديثة,تشغيل وصيانة المرافق,الخدمات العامة,تشغيلي,إنشاءات,1860000,6,2021-05-27,2021-11-23
الصحة,المشاريع,حائل,فرعي,عقد رقم 2022-059,مجموعة الزامل,أعمال النظافة,المشاريع الاستراتيجية,رأسمالي,إنشاءات,290000,6,2023-12-12,2024-06-09
الداخلية,المشاريع,أبها,مركزي,عقد رقم 2022-060,مجموعة العليان,أعمال السباكة,مشاريع البنية التحتية,مختلط,إنشاءات,9210000,36,2023-11-25,2026-11-09
التعليم,التطوير,الدمام,فرعي,عقد رقم 2022-061,مجموعة السعودي الفرنسي,صيانة دورية,الصيانة الدورية,رأسمالي,خدمات متخصصة,1120000,36,2020-07-30,2023-07-15
الإسكان,المشاريع,تبوك,محلي,عقد رقم 2022-062,مجموعة العليان,تطوير البنية التحتية,مشاريع البنية التحتية,رأسمالي,إنشاءات,940000,12,2023-08-24,2024-08-18
الدفاع,المشاريع,مكة,إقليمي,عقد رقم 2022-063,مؤسسة محمد الموسى,تطوير البنية التحتية,الخدمات العامة,مختلط,خدمات متخصصة,1400000,48,2023-04-22,2027-04-01
الصحة,العمليات,مكة,فرعي,عقد رقم 2022-064,شركة المباني الحديثة,أعمال السباكة,التطوير والصيانة,مختلط,إنشاءات,7790000,24,2023-05-13,2025-05-02
التعليم,التطوير,حائل,مركزي,عقد رقم 2022-065,مجموعة الزامل,صيانة المباني,التطوير والصيانة,تشغيلي,صيانة,730000,18,2024-05-24,2025-11-15
التعليم,التطوير,جدة,مركزي,عقد رقم 2022-066,شركة النهدي للتطوير,تطوير البنية التحتية,مشاريع البنية التحتية,تشغيلي,صيانة,1930000,48,2022-03-03,2026-02-10
النقل,العمليات,القصيم,محلي,عقد رقم 2022-067,مجموعة صافولا,تشغيل وصيانة المرافق,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,36700000,3,2020-03-22,2020-06-20
الصحة,الخدمات,مكة,فرعي,عقد رقم 2022-068,مجموعة الزامل,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,إنشاءات,210000,12,2023-01-06,2024-01-01
التعليم,الصيانة,مكة,مركزي,عقد رقم 2022-069,مجموعة صافولا,تطوير البنية التحتية,المشاريع الاستراتيجية,مختلط,خدمات متخصصة,9100000,48,2021-09-27,2025-09-06
الإسكان,المشاريع,جدة,مركزي,عقد رقم 2022-070,شركة المباني الحديثة,إنشاءات جديدة,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,7520000,24,2020-04-22,2022-04-12
الإسكان,العمليات,جدة,مركزي,عقد رقم 2022-071,شركة أرامكو للخدمات,أعمال السباكة,التطوير والصيانة,مختلط,إنشاءات,110000,24,2021-12-11,2023-12-01
